term_id,variable,effect_scope,posterior_mean,posterior_sd,crI_2_5,crI_97_5,prob_gt_0,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label,freq_coef_R1xday,freq_p_R1xday,freq_coef_AMC,freq_p_AMC
main__TA（°C）,TA（°C）,main,-0.027272517753765126,0.01978097366010706,-0.06624055253047385,0.011827790980781743,0.0840625,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__R1xday,R1xday,main,-0.024814641659032962,0.025015728149216935,-0.07438945442969572,0.02315284368889114,0.159375,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__PM2.5,PM2.5,main,0.110612651496079,0.02672671640729092,0.05827517034860099,0.16356185790370875,1.0,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__抗菌药物使用强度,抗菌药物使用强度,main,0.026058474593693134,0.021119866269100476,-0.014902322902557165,0.0680908154616021,0.894375,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__GDP,GDP,main,-0.1791098082705324,0.061446038207748375,-0.300587017258961,-0.05603873820423912,0.000625,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__文盲比例,文盲比例,main,0.13150931967983434,0.03265767994443304,0.0682991414470662,0.19593999793394862,0.9996875,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__人均日生活用水量(升),人均日生活用水量(升),main,-0.04221143499436109,0.04989260322732334,-0.1392558031313324,0.057271481624303115,0.1996875,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__牲畜饲养-猪年底头数,"牲畜饲养
-猪年底头数",main,0.16648727234687843,0.0663740391973905,0.034949323565951096,0.2961801795045075,0.9915625,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
main__主要城市日照时数,主要城市日照时数,main,-0.03856777775450035,0.038745339557515066,-0.11525299410566257,0.03807112970520727,0.15875,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
interaction__R1xday×抗菌药物使用强度,R1xday × 抗菌药物使用强度,interaction,0.032239675047832754,0.018111456549165204,-0.005139132177437637,0.06791883301489555,0.963125,province_only_amplification,Province-only amplification,方案F_低VIF主线组 | Province: No / Year: Yes,方案F_低VIF主线组,curated,Province: No / Year: Yes,0.1343718513136075,0.0511176547836138,0.1282545796871254,0.0033740699130591
